repo,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
theonedev/onedev,8208,5.838207,4.000000,8.858095,1.410819,1.000000,0.838974,26.063353,0.000000,493.852095
code4craft/webmagic,344,4.531977,4.000000,3.871722,1.183140,1.000000,0.585197,11.465116,1.000000,76.640381
plantuml/plantuml,3935,7.133164,5.000000,7.562991,1.542313,1.000000,0.910692,36.508513,1.000000,623.311074
Grasscutters/Grasscutter,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
trinodb/trino,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
mission-peace/interview,667,2.013493,2.000000,1.222216,1.037481,1.000000,0.310146,3.409295,1.000000,13.557754
lingochamp/FileDownloader,269,4.527881,2.000000,5.449579,1.687732,1.000000,2.503557,42.014870,1.000000,232.447956
ssssssss-team/spider-flow,161,5.385093,4.000000,5.169698,1.732919,1.000000,3.401760,20.329193,1.000000,49.785135
alibaba/vlayout,159,5.314465,3.000000,6.714936,1.855346,1.000000,1.491904,72.540881,0.000000,368.428131
datahub-project/datahub,3300,11.412727,9.000000,12.754495,1.211515,1.000000,0.550114,17.277576,1.000000,92.747876
clojure/clojure,917,3.603053,0.000000,7.883258,1.495093,1.000000,2.342699,130.391494,0.000000,1974.926223
google/auto,1139,4.110623,3.000000,8.608455,1.705882,1.000000,3.252479,25.597893,1.000000,270.468567
zfile-dev/zfile,414,7.009662,4.000000,8.050080,1.504831,1.000000,1.112868,9.454106,0.000000,47.046899
JakeWharton/ViewPagerIndicator,66,6.015152,6.000000,5.225654,2.712121,3.000000,1.249802,29.272727,0.000000,127.339709
googlesamples/easypermissions,33,8.939394,8.000000,5.803767,1.484848,1.000000,0.618527,12.212121,6.000000,21.774064
hackware1993/MagicIndicator,103,5.000000,4.000000,4.535265,1.339806,1.000000,0.569716,26.941748,3.000000,79.461648
react-native-camera/react-native-camera,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
lihengming/spring-boot-api-project-seed,15,5.000000,4.000000,4.675162,1.266667,1.000000,0.798809,9.733333,0.000000,18.671853
liaohuqiu/android-Ultra-Pull-To-Refresh,161,4.055901,2.000000,4.389260,1.416149,1.000000,0.754644,19.142857,0.000000,138.956462
opensearch-project/OpenSearch,18841,7.358155,5.000000,9.843864,1.676928,1.000000,1.449146,38.479168,1.000000,432.794477
pockethub/PocketHub,212,6.575472,5.000000,5.341331,1.481132,1.000000,0.763270,9.042453,0.000000,35.251743
seven332/EhViewer,601,7.144759,4.000000,10.200360,1.821963,1.000000,1.509939,45.262895,1.000000,450.453842
Freelander/Android_Data,2,2.000000,2.000000,2.828427,1.000000,1.000000,0.000000,3.000000,3.000000,4.242641
navasmdc/MaterialDesignLibrary,82,4.536585,3.000000,4.494702,1.817073,1.000000,1.228550,6.756098,0.000000,18.904935
json-path/JsonPath,368,4.557065,3.000000,4.803156,1.486413,1.000000,1.092371,29.290761,0.000000,118.931779
ybq/Android-SpinKit,71,4.816901,5.000000,3.534766,3.169014,2.000000,2.466842,21.521127,1.000000,134.570200
shwenzhang/AndResGuard,66,3.530303,2.000000,4.558069,1.500000,1.000000,0.863802,22.378788,1.500000,44.337088
amitshekhariitbhu/Android-Debug-Database,61,4.147541,4.000000,3.802789,1.278689,1.000000,0.520613,8.803279,0.000000,22.798260
frohoff/ysoserial,120,5.458333,3.000000,5.655214,1.341667,1.000000,0.667314,8.891667,1.000000,57.458468
PaperMC/Paper,4165,6.896519,5.000000,11.945847,1.685714,1.000000,1.294301,111.821849,1.000000,1801.319771
PojavLauncherTeam/PojavLauncher,402,6.233831,3.000000,8.193121,1.410448,1.000000,0.690650,124.731343,1.000000,1599.122720
alibaba/transmittable-thread-local,155,5.587097,5.000000,3.732600,1.432258,1.000000,1.093186,12.354839,1.000000,38.260851
bytedeco/javacv,223,6.125561,4.000000,6.770526,2.130045,1.000000,1.923338,133.991031,1.000000,704.225880
davemorrissey/subsampling-scale-image-view,72,5.625000,3.500000,6.619301,1.583333,1.000000,0.884132,79.722222,0.000000,641.019176
testcontainers/testcontainers-java,897,5.347826,4.000000,4.881804,1.493868,1.000000,0.886541,21.911929,1.000000,186.817245
apache/seatunnel,4776,6.677136,5.000000,7.035678,1.338777,1.000000,0.647809,31.108459,0.000000,398.367258
ChrisRM/material-theme-jetbrains,357,4.330532,3.000000,4.943216,2.254902,2.000000,1.449335,84.422969,1.000000,634.422420
lecho/hellocharts-android,153,6.307190,3.000000,6.490156,1.522876,1.000000,0.827846,40.294118,1.000000,150.074450
vipshop/vjtools,379,3.134565,2.000000,3.473306,1.277045,1.000000,0.762741,26.300792,1.000000,106.806403
yuanguangxin/LeetCode,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
koush/AndroidAsync,543,3.613260,2.000000,5.022603,1.532228,1.000000,1.746470,19.440147,0.000000,84.110275
lenve/VBlog,29,4.551724,4.000000,3.621229,1.034483,1.000000,0.185695,29.068966,1.000000,92.841236
Qihoo360/RePlugin,456,5.197368,3.000000,6.257169,1.416667,1.000000,0.677476,32.019737,0.000000,182.824174
Exrick/xmall,316,4.310127,3.000000,5.414152,1.161392,1.000000,0.416977,632.829114,13.000000,2870.931222
google/agera,290,6.327586,4.000000,6.685697,1.241379,1.000000,0.536242,14.844828,0.000000,106.494733
ogaclejapan/SmartTabLayout,45,6.355556,4.000000,5.776738,1.644444,1.000000,0.980620,9.711111,1.000000,27.891529
Genymobile/gnirehtet,81,3.765432,2.000000,3.596080,1.185185,1.000000,0.527046,14.296296,1.000000,35.251399
rest-assured/rest-assured,704,5.241477,4.000000,5.837651,1.198864,1.000000,0.455969,106.024148,0.000000,586.406324
DroidPluginTeam/DroidPlugin,786,3.301527,2.000000,5.186648,4.388041,3.000000,8.038652,3.699746,0.000000,23.328426
macrozheng/springcloud-learning,225,4.884444,3.000000,5.010255,1.022222,1.000000,0.147734,85.875556,0.000000,846.647861
pentaho/pentaho-kettle,11016,6.010712,2.000000,9.317893,1.279321,1.000000,0.615545,83.049837,0.000000,1226.636336
smuyyh/BookReader,699,4.798283,2.000000,6.572775,1.437768,1.000000,0.813605,25.323319,0.000000,161.858232
apache/iceberg,4548,8.592348,6.000000,8.296679,1.677880,1.000000,1.673155,36.417986,2.000000,172.541406
zouzg/mybatis-generator-gui,39,7.179487,5.000000,7.813187,1.487179,1.000000,0.683328,69.948718,3.000000,255.114520
Meituan-Dianping/Leaf,40,3.475000,1.500000,4.248605,1.425000,1.000000,1.034966,11.250000,0.000000,35.058742
guardianproject/haven,79,6.822785,4.000000,7.328832,1.392405,1.000000,0.586553,11.772152,1.000000,39.764676
spring-projects/spring-ai,2760,7.534420,5.000000,8.425112,1.190580,1.000000,0.831108,26.998551,1.000000,389.609826
gocd/gocd,5404,7.464656,5.000000,9.242094,1.274426,1.000000,0.752321,37.517209,0.000000,363.508429
getActivity/XXPermissions,194,6.654639,4.000000,6.509404,1.546392,1.000000,0.893507,86.438144,1.000000,875.945020
FongMi/TV,654,6.709480,4.000000,8.624265,1.408257,1.000000,0.689003,100.741590,1.000000,674.743835
joelittlejohn/jsonschema2pojo,271,6.701107,5.000000,5.940068,1.140221,1.000000,0.433212,77.686347,0.000000,580.815845
koush/ion,289,4.577855,3.000000,6.131232,1.460208,1.000000,1.464620,23.598616,0.000000,205.829988
apache/hertzbeat,1466,7.068213,5.000000,6.715129,1.265348,1.000000,1.468621,10.478854,0.000000,57.210096
jOOQ/jOOQ,3311,9.794020,7.000000,17.919335,1.832075,1.000000,3.101439,1671.133494,3.000000,41934.153221
google/grafika,103,6.407767,5.000000,6.280123,1.747573,2.000000,0.859987,6.893204,0.000000,16.887118
gephi/gephi,2389,4.480117,3.000000,4.879894,1.672666,1.000000,1.671771,24.683968,0.000000,124.299168
Vedenin/useful-java-links,263,2.304183,2.000000,2.489417,1.022814,1.000000,0.149594,1.832700,0.000000,6.856946
LandGrey/SpringBootVulExploit,14,3.428571,3.000000,2.953858,1.000000,1.000000,0.000000,3.571429,0.000000,7.449463
graphhopper/graphhopper,1359,6.756439,4.000000,8.570267,1.259750,1.000000,0.675311,32.996321,1.000000,175.856811
liyifeng1994/ssm,19,4.157895,2.000000,5.356856,1.684211,1.000000,1.108183,2.052632,1.000000,3.257021
apache/incubator-kie-drools,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
antoniolg/androidmvp,14,3.285714,2.000000,3.770912,1.285714,1.000000,0.468807,3.000000,0.000000,4.640955
apache/camel,41629,4.835187,3.000000,8.649049,1.629753,1.000000,2.613901,79.678806,1.000000,2201.673045
apache/pinot,7068,7.362054,5.000000,8.417072,1.515139,1.000000,1.313005,52.644454,1.000000,468.310550
ZhongFuCheng3y/austin,348,6.229885,5.000000,5.075116,1.123563,1.000000,0.378404,1.451149,0.000000,5.117121
ffay/lanproxy,63,4.238095,3.000000,3.888421,1.190476,1.000000,0.503444,8.206349,0.000000,27.169812
youtube/api-samples,42,6.404762,7.000000,4.412065,1.000000,1.000000,0.000000,4.380952,0.000000,9.847502
JakeWharton/DiskLruCache,12,3.250000,2.500000,2.988615,1.333333,1.000000,0.778499,11.000000,3.000000,25.591192
yanzhenjie/SwipeRecyclerView,275,4.847273,3.000000,5.246335,1.389091,1.000000,0.835716,26.941818,0.000000,115.438818
JakeWharton/u2020,134,6.216418,4.000000,8.088200,1.425373,1.000000,0.816897,23.619403,0.500000,184.588500
k0shk0sh/FastHub,934,8.073876,5.000000,7.858741,1.437901,1.000000,0.683521,34.756959,1.000000,131.603475
daimajia/AndroidImageSlider,63,4.063492,2.000000,7.079897,1.571429,1.000000,0.776973,59.095238,1.000000,361.210184
alibaba/spring-ai-alibaba,1731,5.986713,4.000000,7.630813,1.186020,1.000000,0.541941,20.513576,0.000000,193.318152
baidu/uid-generator,25,2.880000,1.000000,3.382800,1.280000,1.000000,0.737111,11.720000,1.000000,21.198506
emilsjolander/StickyListHeaders,43,4.813953,3.000000,6.949669,1.395349,1.000000,0.659709,3.976744,0.000000,15.529524
TommyLemon/Android-ZBLibrary,318,5.377358,3.000000,6.410932,1.559748,1.000000,1.033149,26.666667,0.000000,131.610584
KeepSafe/TapTargetView,39,4.512821,2.000000,7.070591,1.153846,1.000000,0.431549,49.897436,0.000000,246.550496
Jasonchenlijian/FastBle,105,4.380952,2.000000,5.916699,1.295238,1.000000,0.570489,26.066667,0.000000,184.244782
socketio/socket.io-client-java,229,1.921397,1.000000,2.799268,1.096070,1.000000,0.418259,4.253275,0.000000,34.095667
mik3y/usb-serial-for-android,66,6.196970,4.000000,7.392761,1.318182,1.000000,0.636314,38.969697,1.000000,106.812844
00-Evan/shattered-pixel-dungeon,2679,6.338186,4.000000,9.288819,2.849197,2.000000,2.933994,13.925719,1.000000,99.181291
hibernate/hibernate-orm,25543,6.797714,5.000000,9.155120,1.398544,1.000000,0.972587,76.486082,1.000000,2162.895252
h6ah4i/android-advancedrecyclerview,395,6.605063,4.000000,7.130116,2.407595,2.000000,2.211746,32.022785,0.000000,194.659424
mybatis/generator,644,7.809006,5.000000,7.745114,1.959627,2.000000,1.054466,88.085404,3.000000,450.662371
CodingDocs/springboot-guide,139,4.115108,3.000000,3.113968,1.179856,1.000000,0.567882,1.352518,0.000000,5.502125
apache/groovy,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
huangyanbin/smartTable,364,5.126374,2.000000,7.641446,1.189560,1.000000,0.457326,25.928571,0.000000,203.919515
Karumi/Dexter,80,4.425000,3.000000,5.252546,1.200000,1.000000,0.560289,4.150000,0.000000,14.592438
thinkaurelius/titan,1594,5.864492,3.000000,8.652920,1.369511,1.000000,0.806190,20.505646,1.000000,117.232088
dunwu/db-tutorial,209,5.205742,4.000000,5.164670,1.181818,1.000000,0.550746,32.607656,0.000000,181.500978
careercup/ctci,311,1.958199,2.000000,1.468438,1.118971,1.000000,0.434771,5.096463,1.000000,17.874573
reactor/reactor-core,2245,7.190646,7.000000,8.202876,1.682405,1.000000,1.632250,121.605345,1.000000,2142.734746
pmd/pmd,4081,5.726538,4.000000,8.490606,2.053173,2.000000,2.572548,43.452095,1.000000,592.501366
hneemann/Digital,1817,5.047881,4.000000,5.764124,1.683544,1.000000,1.729034,13.253715,0.000000,95.596838
runelite/runelite,3794,3.614918,1.000000,7.119121,1.221666,1.000000,0.734553,25.850290,0.000000,867.381691
oshi/oshi,671,5.599106,4.000000,6.121794,1.590164,1.000000,1.240062,31.643815,1.000000,124.335367
wequick/Small,185,3.805405,2.000000,4.962355,1.475676,1.000000,0.827977,20.167568,0.000000,143.298332
youlookwhat/DesignPattern,197,2.538071,2.000000,3.609062,1.279188,1.000000,0.449743,1.426396,0.000000,4.555879
Exrick/xpay,21,6.428571,5.000000,6.881653,1.000000,1.000000,0.000000,93.428571,1.000000,288.504692
orhanobut/dialogplus,29,5.241379,3.000000,6.294301,1.034483,1.000000,0.185695,57.862069,0.000000,255.174691
osmandapp/OsmAnd,6039,8.738367,5.000000,10.921387,1.613015,1.000000,1.423355,106.438152,1.000000,598.103556
2227324689/gpmall,424,4.978774,3.000000,5.964198,1.360849,1.000000,0.644654,8.169811,0.000000,43.341292
JodaOrg/joda-time,557,8.578097,6.000000,8.189510,2.283662,2.000000,1.872357,295.294434,10.000000,784.564756
javastacks/spring-boot-best-practice,176,4.744318,4.000000,3.442171,1.090909,1.000000,0.342641,3.119318,0.000000,27.044355
PBH-BTN/PeerBanHelper,619,6.373183,4.000000,8.039626,1.324717,1.000000,0.703357,16.064620,0.000000,52.413180
hazelcast/hazelcast,16788,7.926555,5.000000,15.285528,1.757029,1.000000,4.750196,44.978318,1.000000,434.030859
fuzhengwei/small-spring,375,3.472000,2.000000,4.017161,1.250667,1.000000,0.828047,12.704000,0.000000,64.736656
apache/calcite,5648,7.658817,5.000000,10.227374,1.703789,1.000000,2.097729,384.071884,1.000000,7973.415001
andkulikov/Transitions-Everywhere,193,6.870466,5.000000,6.074092,1.678756,1.000000,1.346452,25.720207,0.000000,223.419179
etsy/AndroidStaggeredGrid,36,5.861111,3.000000,6.586362,1.861111,1.500000,1.417297,155.888889,0.500000,666.973239
saiwu-bigkoo/Android-ConvenientBanner,29,4.827586,3.000000,5.359031,1.448276,1.000000,0.685889,7.793103,1.000000,20.153658
hansonwang99/Spring-Boot-In-Action,134,3.865672,3.000000,3.339873,1.119403,1.000000,0.425587,6.007463,0.000000,15.608700
jgilfelt/chuck,42,5.833333,4.000000,6.532906,1.380952,1.000000,0.660834,55.738095,0.500000,281.548424
firebase/FirebaseUI-Android,284,9.788732,7.000000,8.418246,1.957746,1.000000,1.668131,12.338028,1.000000,34.470531
saysky/ForestBlog,86,5.104651,3.000000,5.264820,1.069767,1.000000,0.256249,12.686047,0.000000,46.043780
bisq-network/bisq,3715,7.495828,4.000000,9.473437,1.749933,1.000000,1.168687,30.017497,0.000000,362.578086
gabrielemariotti/cardslib,811,5.901356,4.000000,6.108293,2.177559,1.000000,2.038043,18.620222,0.000000,104.382458
bepass-org/oblivion,58,5.637931,4.000000,6.037015,1.482759,1.000000,0.706893,11.620690,0.500000,46.819110
gsantner/markor,328,6.890244,4.000000,9.826951,1.503049,1.000000,0.986138,132.356707,1.000000,1009.618981
RedSpider1/concurrent,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
yasserg/crawler4j,83,5.277108,4.000000,5.709028,1.313253,1.000000,0.561525,55.891566,1.000000,331.066864
danielzeller/Depth-LIB-Android-,108,3.787037,2.000000,4.604043,1.212963,1.000000,0.433437,13.351852,0.000000,54.515421
angryip/ipscan,383,4.986945,3.000000,4.813521,1.665796,1.000000,1.630230,4.151436,0.000000,12.472506
objectbox/objectbox-java,392,5.127551,4.000000,5.219387,1.755102,1.000000,1.847435,103.660714,0.000000,485.827993
tiann/epic,149,3.228188,3.000000,5.287825,1.624161,1.000000,0.825903,30.395973,1.000000,219.898988
Meituan-Dianping/Robust,42,3.523810,2.000000,3.624026,1.261905,1.000000,0.543679,17.357143,3.500000,35.648570
JZ-Darkal/AndroidHttpCapture,317,4.712934,3.000000,6.567776,1.416404,1.000000,0.797613,37.003155,0.000000,259.304614
airbnb/DeepLinkDispatch,25,6.280000,5.000000,5.248174,1.480000,1.000000,0.509902,88.640000,0.000000,256.626655
linhaojun857/aurora,299,7.287625,6.000000,6.591958,1.117057,1.000000,0.361313,7.257525,0.000000,80.090116
zhkl0228/unidbg,1722,5.254936,4.000000,6.582206,1.607433,1.000000,1.302709,26.631243,0.000000,238.107614
awangdev/leet-code,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
mywalkb/LSPosed_mod,447,5.574944,3.000000,7.230857,1.624161,1.000000,1.264254,50.201342,0.000000,327.869963
rstudio/rstudio,7007,4.892679,2.000000,10.010780,1.277580,1.000000,0.633663,352.183388,0.000000,12486.592425
brianway/java-learning,753,1.084993,1.000000,1.124297,1.286853,1.000000,0.513177,0.596282,0.000000,2.922598
ongakuer/CircleIndicator,45,6.511111,5.000000,5.141729,1.622222,2.000000,0.683869,8.511111,1.000000,22.812100
s4kibs4mi/java-developer-roadmap,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
nining377/dolby_beta,185,4.145946,4.000000,5.498547,1.454054,1.000000,0.820457,7.962162,1.000000,49.920956
microsoft/malmo,278,7.050360,5.000000,7.354680,2.143885,2.000000,2.716605,12.848921,1.000000,30.403404
Freeyourgadget/Gadgetbridge,4367,5.413556,3.000000,8.647962,1.839249,2.000000,1.446334,38.961072,1.000000,336.514200
pedrovgs/AndroidWiFiADB,30,2.866667,2.000000,3.148435,1.500000,1.000000,1.074789,12.133333,0.000000,23.720693
zendesk/maxwell,312,6.108974,4.000000,7.196885,1.621795,1.000000,0.808659,32.137821,0.000000,157.687581
pqpo/SmartCropper,12,6.250000,3.000000,7.387028,1.333333,1.000000,0.492366,122.500000,0.000000,408.120860
201206030/novel-plus,409,6.479218,3.000000,7.298615,1.210269,1.000000,0.464201,46.628362,1.000000,124.411492
luckybilly/CC,120,4.966667,4.000000,4.738424,1.258333,1.000000,0.557543,16.316667,0.000000,129.759246
DTStack/chunjun,1916,7.139875,4.000000,7.418716,1.565240,1.000000,0.813350,20.836117,1.000000,119.802314
Yalantis/Phoenix,24,4.333333,2.500000,4.824455,1.666667,1.000000,0.963087,7.541667,0.000000,19.167407
makovkastar/FloatingActionButton,27,5.666667,3.000000,7.620822,1.814815,2.000000,1.210119,37.592593,1.000000,182.600080
orhanobut/hawk,26,3.615385,2.000000,4.243366,1.038462,1.000000,0.196116,12.961538,1.000000,25.524076
JeremyLiao/LiveEventBus,308,3.227273,2.000000,3.546844,1.110390,1.000000,0.370960,4.035714,0.000000,16.924878
awaitility/awaitility,170,3.176471,1.000000,4.559083,1.194118,1.000000,0.588821,18.582353,0.000000,123.729935
jMonkeyEngine/jmonkeyengine,3194,6.692235,4.000000,8.031696,1.620225,1.000000,1.087516,53.886036,0.000000,384.049676
fishercoder1534/Leetcode,5143,1.552207,1.000000,1.955740,1.000389,1.000000,0.019718,0.287770,0.000000,7.392614
linyiqun/DataMiningAlgorithm,126,2.293651,2.000000,2.262980,1.087302,1.000000,0.358214,9.960317,0.000000,36.264892
crate/crate,7558,7.578063,5.000000,10.926871,1.642101,1.000000,0.960851,48.889124,1.000000,668.647249
bluelinelabs/Conductor,86,5.476744,3.000000,6.201948,1.348837,1.000000,0.664520,71.337209,0.000000,406.338648
JavaNoober/BackgroundLibrary,119,4.789916,4.000000,4.830823,1.210084,1.000000,0.409091,34.176471,0.000000,222.086662
tronprotocol/java-tron,1652,8.860775,7.000000,11.163668,1.759080,1.000000,2.019306,80.760291,1.000000,1226.408870
Exrick/xboot,349,7.415473,6.000000,6.821778,1.212034,1.000000,0.531506,2.656160,0.000000,9.350263
aurelhubert/ahbottomnavigation,46,5.108696,2.000000,7.540198,1.173913,1.000000,0.383223,57.478261,0.000000,313.310477
google/bundletool,873,9.699885,7.000000,8.879376,1.268041,1.000000,1.196937,82.603666,6.000000,523.785893
Dimezis/BlurView,30,5.900000,3.500000,5.683309,1.500000,1.000000,0.731083,7.000000,1.000000,14.202962
lygttpod/SuperTextView,86,3.046512,2.000000,5.846883,1.162791,1.000000,0.401774,141.674419,0.000000,1033.994009
ReChronoRain/HyperCeiler,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ereza/CustomActivityOnCrash,15,5.400000,4.000000,4.762952,1.333333,1.000000,0.487950,32.333333,0.000000,80.058609
jishenghua/jshERP,360,5.825000,3.000000,9.909897,1.327778,1.000000,0.541643,1674.700000,13.000000,8186.782202
timehop/sticky-headers-recyclerview,29,4.620690,2.000000,4.945516,1.275862,1.000000,0.527565,3.241379,0.000000,6.679688
ethanhua/Skeleton,33,3.727273,3.000000,3.402873,1.242424,1.000000,0.501890,4.606061,0.000000,14.506334
andOTP/andOTP,166,6.108434,3.000000,8.453813,1.500000,1.000000,0.983192,41.415663,0.000000,339.329841
liuyubobobo/Play-with-Algorithms,133,2.894737,2.000000,2.409775,1.007519,1.000000,0.086711,5.203008,0.000000,20.640046
ByteLegend/ByteLegend,295,6.979661,7.000000,2.816302,1.003390,1.000000,0.058222,727.844068,20.000000,2317.183342
KunMinX/Linkage-RecyclerView,75,6.400000,5.000000,6.301008,1.546667,1.000000,0.722109,10.386667,1.000000,24.498700
jtablesaw/tablesaw,765,6.270588,4.000000,6.690521,1.284967,1.000000,0.600912,108.529412,1.000000,478.854005
PlexPt/chatgpt-java,69,5.275362,3.000000,6.444067,1.275362,1.000000,0.725260,14.594203,0.000000,57.795104
networknt/light-4j,1235,4.572470,3.000000,5.231610,1.170850,1.000000,0.567167,23.314170,0.000000,121.851193
